Model,MTL,Tasks,Learning Rate,MTL HPO,Seed,Best Epoch,Best Validation Loss,NEXT_ACTIVITY,NEXT_TIME,REMAINING_TIME
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,2025,,,,,
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,123,,,,,
CNN,IMTL,"('next_activity', 'next_time', 'remaining_time')",0.001,None,42,,,,,
LSTM,EW,"('next_activity',)",0.0001,None,123,93.0,1.3186,0.5137,,
LSTM,EW,"('next_activity',)",0.01,None,123,13.0,1.4876,0.4709,,
LSTM,EW,"('next_activity',)",0.001,None,123,34.0,1.3467,0.4984,,
LSTM,EW,"('next_activity',)",0.001,None,42,34.0,1.3614,0.5115,,
LSTM,EW,"('next_activity',)",0.01,None,2025,14.0,1.4927,0.4697,,
LSTM,EW,"('next_activity',)",0.0001,None,42,71.0,1.3329,0.5138,,
LSTM,EW,"('next_activity',)",0.01,None,42,18.0,1.4941,0.4724,,
LSTM,EW,"('next_activity',)",0.001,None,2025,39.0,1.3608,0.5115,,
LSTM,EW,"('next_activity',)",0.0001,None,2025,66.0,1.3346,0.5177,,
LSTM,EW,"('next_time',)",0.0001,None,42,117.0,1.474,,1.3525,
LSTM,EW,"('next_time',)",0.01,None,42,9.0,1.659,,1.5191,
LSTM,EW,"('next_time',)",0.01,None,2025,11.0,1.5602,,1.6362,
LSTM,EW,"('next_time',)",0.0001,None,2025,113.0,1.3731,,1.4659,
LSTM,EW,"('next_time',)",0.001,None,42,56.0,1.5338,,1.4011,
LSTM,EW,"('next_time',)",0.001,None,123,31.0,1.4767,,1.409,
LSTM,EW,"('next_time',)",0.001,None,2025,65.0,1.4089,,1.4681,
LSTM,EW,"('next_time',)",0.0001,None,123,102.0,1.4402,,1.3888,
LSTM,EW,"('next_time',)",0.01,None,123,16.0,1.5785,,1.5095,
LSTM,EW,"('remaining_time',)",0.01,None,123,5.0,12.1483,,,12.3304
LSTM,EW,"('remaining_time',)",0.01,None,42,2.0,12.2021,,,12.0463
LSTM,EW,"('remaining_time',)",0.01,None,2025,25.0,11.7942,,,12.6004
LSTM,EW,"('remaining_time',)",0.0001,None,123,195.0,9.4082,,,9.7962
LSTM,EW,"('remaining_time',)",0.001,None,2025,104.0,10.2231,,,11.0982
LSTM,EW,"('remaining_time',)",0.0001,None,2025,199.0,9.1213,,,9.8477
LSTM,EW,"('remaining_time',)",0.001,None,42,145.0,10.0559,,,10.2657
LSTM,EW,"('remaining_time',)",0.001,None,123,107.0,10.4672,,,10.6486
LSTM,EW,"('remaining_time',)",0.0001,None,42,192.0,9.0236,,,9.3048
Transformer,EW,"('next_activity',)",0.01,None,2025,19.0,1.4969,0.467,,
Transformer,EW,"('next_activity',)",0.01,None,123,16.0,1.5246,0.4644,,
Transformer,EW,"('next_activity',)",0.001,None,123,12.0,1.2585,0.5394,,
Transformer,EW,"('next_activity',)",0.01,None,42,10.0,1.608,0.4421,,
Transformer,EW,"('next_activity',)",0.001,None,2025,33.0,1.1139,0.6061,,
Transformer,EW,"('next_activity',)",0.001,None,42,50.0,1.0467,0.6368,,
Transformer,EW,"('next_activity',)",0.0001,None,2025,30.0,1.2536,0.5463,,
Transformer,EW,"('next_activity',)",0.0001,None,42,36.0,1.2639,0.5518,,
Transformer,EW,"('next_activity',)",0.0001,None,123,44.0,1.2527,0.5428,,
Transformer,EW,"('next_time',)",0.001,None,42,18.0,2.6822,,2.5443,
